in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
96,0,40,40,10,60,10,0,82751,0.24,0.9,12.1,27.2,34.3,25.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/96ScreenParallel.webp
97,1,40,40,10,60,10,0,82579,0.244,0.1,10.8,27.4,36,25.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/97ScreenParallel.webp
98,2,40,40,10,60,10,0,81056,0.248,0.1,11,26.6,35.8,26.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/98ScreenParallel.webp
99,0,20,50,10,60,10,0,80400,0.164,0.1,7.1,22.5,22.9,47.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/99ScreenParallel.webp
100,1,20,50,10,60,10,0,80454,0.168,0.2,5.6,21.6,24.6,48,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/100ScreenParallel.webp
101,2,20,50,10,60,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/101ScreenParallel.webp
102,0,30,50,10,60,10,0,80808,0.18,0.1,4.1,21.5,26.4,47.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/102ScreenParallel.webp
103,1,30,50,10,60,10,0,80882,0.185,0.1,4.8,23.1,24.4,47.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/103ScreenParallel.webp
104,2,30,50,10,60,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/104ScreenParallel.webp
105,0,40,50,10,60,10,0,80403,0.194,0.1,4.8,18.4,26.2,50.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/105ScreenParallel.webp
106,1,40,50,10,60,10,0,81649,0.199,0.1,5.9,20.9,24.4,48.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/106ScreenParallel.webp
107,2,40,50,10,60,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/107ScreenParallel.webp
108,0,20,30,10,40,0,5,89894,0.235,0,8.6,32,32.3,27.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/108ScreenParallel.webp
109,1,20,30,10,40,0,5,90831,0.252,0,14.3,35.5,30.3,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/109ScreenParallel.webp
110,2,20,30,10,40,0,5,91809,0.298,1.6,26,29.6,18.3,24.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/110ScreenParallel.webp
111,0,30,30,10,40,0,5,90614,0.269,0,11.8,35.9,29.1,23.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/111ScreenParallel.webp
112,1,30,30,10,40,0,5,89408,0.29,0.1,18.3,39.3,18.3,24.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/112ScreenParallel.webp
113,2,30,30,10,40,0,5,91260,0.323,0.6,21.8,29,20.6,28,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/113ScreenParallel.webp
114,0,40,30,10,40,0,5,92045,0.286,0,9.7,42.1,23.6,24.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/114ScreenParallel.webp
115,1,40,30,10,40,0,5,91243,0.31,0.2,20.4,32.1,22.2,25.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/115ScreenParallel.webp
116,2,40,30,10,40,0,5,91260,0.323,0.6,21.8,29,20.6,28,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/116ScreenParallel.webp
117,0,20,40,10,40,0,5,91698,0.226,0.1,6.6,29.1,32.8,31.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/117ScreenParallel.webp
118,1,20,40,10,40,0,5,93183,0.258,0,13.8,39.4,27,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/118ScreenParallel.webp
119,2,20,40,10,40,0,5,94806,0.31,2.5,22.4,29.2,19.1,26.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/119ScreenParallel.webp
120,0,30,40,10,40,0,5,92234,0.264,0.1,12.3,35.1,25.6,26.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/120ScreenParallel.webp
